userid,screenname,city,country,gender,playlists_total,description
x1c80ox,Liam Harrington,,US,null,0,null
x1hx876,Bhertch,,PH,male,18,null
x1ja2at,Leeanne Farrar,,DK,null,0,null
x1jon5q,Burl Bbutch,blagoevgrad,BG,null,0,null
x1k7ohq,Babe Dewayne,durbuy,BE,null,0,null
x1vr3k7,Buzz,,FR,null,0,null
x1vwqwl,SusanMorgan,,US,null,0,null
x2bpr4g,Patrika,,IN,male,7,"One of the largest Media Conglomerates in India, Patrika Group is known for its journalistic values and high credibility. Aptly called the ‘newspaper with a soul’, Rajasthan Patrika was started more than 64 years ago.<br />"
x2dvehc,Technical ArCoAn,,IN,male,0,"<br />Mainly this Channel is developed for Students, such as BTech/BE, Diploma Engineering (Polytechnic), also BSc, BCA, MCA, NIELIT( 'O' Level, 'A' Level), ICSE Board, CBSE Board etc. This Video Tutorial will be very helpful to our Students (Computer Science & Information Technology)."
x3lmk4,boss5987,auby,FR,male,1,
